hostelid,name,type,address1,address2,tel,homepage,checktime,petinfo,placeinfo,rating,review,theme,themenum,firstimage,latitude,longitude
11,디포레카라반파크,"캠핑,야영장",제주 제주시 구좌읍 송당6길 78-1,송당리 1901-2,064-784-2417,http://dforetcaravan.kr,미제공,,,4.68,283,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180612_91%2F1528768028186X3NMt_JPEG%2Fview00.jpg,33.4649072540438,126.780911619736
12,다인리조트,"콘도,리조트",제주 제주시 애월읍 애월해안로 400-9,고내리 79-8,064-799-2600,http://www.dyneresort.co.kr/,미제공,,,4.19,938,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230629_3%2F16880151634091i3Xe_JPEG%2F1.jpg,33.4714908987742,126.351156220975
13,곽지몬스터캠핑,"캠핑,야영장",제주 제주시 애월읍 일주서로 6083-3,곽지리 1385,0507-1398-8608,https://www.instagram.com/gwakji_monster,미제공,,,0.0,15,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230711_221%2F168907156015150eMc_JPEG%2FKakaoTalk_20230711_193017227.jpg,33.4547075277334,126.308042981709
14,구옥주택,게스트하우스,제주 서귀포시 남원읍 위미중앙로300번길 24 구옥주택 게스트하우스,위미리 878-1,0507-1357-1674,https://blog.naver.com/guok_house,입실 17:00 퇴실 11:00,,,0.0,95,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230326_175%2F1679837074677NAVIT_JPEG%2F9E87625F-6B5C-4ABA-BDAE-375D3B53A4E2.jpeg,33.2722307190774,126.675888997327
15,비치보이스,펜션,제주 제주시 애월읍 금성5길 42-1,금성리 477,0507-1354-7849,https://www.instagram.com/beachboys_jeju,입실 15:00 퇴실 11:00,,,0.0,215,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210118_219%2F1610903493086knIJT_JPEG%2F2GNhL4VPfBZg4nbbk8vZP-YQ.jpg,33.4479905318218,126.300729964945
16,제주파인비치펜션,펜션,제주 서귀포시 남원읍 태위로 976-10,태흥리 385,0507-1402-2918,http://www.jejupinebeach.kr,입실 15:00 퇴실 11:00,,,4.63,368,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180807_241%2F15335896743117R9WM_JPEG%2F41489045199.jpg,33.2875516836087,126.748426961662
17,별헤는밤글램핑,펜션,제주 제주시 애월읍 광상로 348,유수암리 2270-2,0507-1408-7802,http://www.애월글램핑.kr,미제공,,,4.3,350,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230122_10%2F1674382060546l0Yvo_JPEG%2F%25BF%25DC%25B0%25E61_%25C6%25ED%25C1%25FD%25BA%25BB.jpg,33.4433625402983,126.396768951655
18,하이까미,펜션,제주 제주시 한경면 신창1길 5-2 하이까미,신창리 381,0507-1391-0408,https://www.instagram.com/hi_kami_stay,입실 15:00 퇴실 11:00,,,0.0,11,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230713_20%2F1689251228884i4Mfm_JPEG%2FDSC03407230710_%25C7%25D1%25B0%25E6-%25C7%25CF%25C0%25CC%25B1%25EE%25B9%25CC%25281920px%2529.jpg,33.347322990542,126.18188601947
19,빨간풍차펜션,펜션,제주 제주시 구좌읍 김녕남2길 36,김녕리 3100,010-6425-1645,http://www.redwindmill.co.kr/,미제공,,,4.18,363,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230127_219%2F1674782984901tCo4J_PNG%2F1.png,33.5485337378695,126.742382043075
20,선셋코스트,"캠핑,야영장",제주 서귀포시 대정읍 노을해안로 232,영락리 1580-2,010-4741-7064,http://www.sunsetcoast.kr,미제공,,,0.0,8,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230627_42%2F16878246577234ndcb_JPEG%2F1.jpg,33.2459635743752,126.205067618998
21,제주캠핑카라반,"캠핑,야영장",제주 서귀포시 표선면 표선동서로 324-18,표선리 441,064-787-8202,http://www.jejucampingcaravan.com/,미제공,,,4.13,256,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230509_91%2F16836121385510XgSL_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5_%252812%2529.jpg,33.3301174422122,126.83867170584
22,에어그라운드,"캠핑,야영장",제주 서귀포시 남원읍 남태해안로 439,태흥리 1145-1,010-9858-4433,http://instagram.com/air_ground,입실 16:30 퇴실 11:00,,,0.0,95,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210222_191%2F1613963392227vizoz_JPEG%2FMY7k3HER0YpTpRl7EAVgEDZg.jpeg.jpg,33.2822243231773,126.746707071505
23,스테이오늘,민박,제주 제주시 한경면 용당1길 17-1,용수리 1418,010-8609-9797,https://www.instagram.com/p/CXr9puuJAIV/?utm_medium=copy_link,미제공,,,0.0,52,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220812_217%2F16602576322649c8Xh_JPEG%2FIMG_20220102_165246_785.jpg,33.3338633215534,126.178880510143
24,하늘만큼 땅만큼 펜션,펜션,제주 제주시 애월읍 가문동상4길 5,하귀2리 2669,0507-1494-8924,https://www.instagram.com/jeju_skyland/,입실 15:00 퇴실 11:00,,,0.0,46,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220525_13%2F1653465166553HnHex_JPEG%2FJIW_0192.JPG,33.4833025624025,126.393911930053
25,선양빌리지돔,펜션,제주 제주시 조천읍 와흘로 350,와흘리 262,010-5168-9001,http://www.sunyangvillage.co.kr,입실 15:00 퇴실 11:00,,,3.87,76,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170205_168%2F1486304868217i7TcO_JPEG%2F186155635768053_0.jpeg,33.4746442757745,126.643720289491
26,제주노을채,펜션,제주 제주시 한경면 한원복3길 14-2 제주노을채,두모리 604-2,0507-1332-8961,https://blog.naver.com/jejunoeulchae,미제공,,,0.0,146,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230621_248%2F1687357384638LIaYT_JPEG%2F20230621_1920161.jpg,33.3410639021522,126.201154031918
27,에코그린캠핑장,"캠핑,야영장",제주 제주시 애월읍 중산간서로 5587,납읍리 1883,0507-1322-8649,http://ecogreencamping.com/,입실 15:00 퇴실 11:00,,,0.0,81,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_300%2F1620028633092fIIV9_JPEG%2Fd0p-qqVa_LLpO7gRQq0G91kz.jpg,33.44466980568,126.333991494187
28,무거 오션뷰펜션카라반,"캠핑,야영장",제주 제주시 조천읍 조함해안로 356,신흥리 15,미제공,http://www.moogerpension.com/,미제공,,,3.54,71,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200507_239%2F1588819052541kHBpG_JPEG%2FfAIdcqhkUHhUngZrL6nQWvlc.jpg,36.5988060733531,127.291926710944
29,어라운드폴리,"캠핑,야영장",제주 서귀포시 성산읍 서성일로 433,난산리 2682,0507-1433-6226,http://www.aroundfollie.com/,입실 16:00 퇴실 11:00,,,4.74,596,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180321_254%2F1521615805496TURJo_JPEG%2FlWUU58lDhiOlYSrxzY4RbSGa.JPG.jpg,33.4153945018902,126.835772867645
30,오크라 리조트,펜션,제주 서귀포시 표선면 번영로 3189,하천리 1415,064-805-9922,http://www.oakraresort.com,입실 02:00 퇴실 11:00,,,4.74,68,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180309_58%2F1520559098893L8rEO_JPEG%2FJnfK0q5D2oOaLuEVgcW3u1_U.jpg,33.3640215945856,126.820212350161
31,글로리아펜션,펜션,제주 제주시 애월읍 고내북동길 4,고내리 577,064-799-7773,https://www.instagram.com/explore/tags/%EC%95%A0%EC%9B%94%EA%B8%80%EB%A1%9C%EB%A6%AC%EC%95%84%ED%8E%9C%EC%85%98/,입실 16:00 퇴실 11:00,,,4.46,157,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200727_6%2F1595825666778gXviU_JPEG%2Fj9wl664E0RJc4-GOLEYgf9F8.jpg,33.4670376469252,126.339335186404
32,하우스말로,펜션,제주 제주시 조천읍 남조로 1785-12,교래리 619,0507-1323-6305,https://housemalloh.modoo.at,입실 16:00 퇴실 11:00,,,0.0,35,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230701_54%2F1688211327730wxBUa_JPEG%2FDSC09645.JPG,33.4274397714774,126.672266498726
33,삼춘네하우스,펜션,제주 서귀포시 대정읍 중산간서로 2366 독채,구억리 971,0507-1423-0853,https://unclescampinghouse.modoo.at/,입실 15:00 퇴실 11:00,,,0.0,47,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220727_12%2F1658907136129hSSl5_JPEG%2F1.jpg,33.2738931488732,126.280006942067
34,위미리867,펜션,제주 서귀포시 남원읍 위미중앙로300번길 40 1동,위미리 867,0507-1326-0607,https://pension.onda.me/bp/136428/calendar,미제공,,,0.0,5,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230617_191%2F1686968773224c60M3_JPEG%2FKakaoTalk_20230615_203158443_06.jpg,33.2723651882769,126.6775672314
35,판포따숨,펜션,제주 제주시 한경면 판포4길 41-17 판포따숨,판포리 2816,0506-365-5926,https://www.instagram.com/dda_soom_jeju,입실 15:00 퇴실 11:00,,,0.0,18,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230825_143%2F1692936852266AxAVB_JPEG%2F230821%25C7%25D1%25B0%25E6-%25C6%25C7%25C6%25F7%25B5%25FB%25BC%25FB%2528980px%2529-030.jpg,33.3636303793973,126.203148653383
36,야크마을 제주,"캠핑,야영장",제주 서귀포시 색달중앙로 162,색달동 1045,064-760-1951,http://yakmaeul.com,입실 15:00 퇴실 11:00,,,0.0,17,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230707_100%2F1688717901774WJfrv_JPEG%2F%25C4%25B7%25C7%25CE%25C0%25FC%25B0%25E611.jpg,33.2700108365383,126.416790192707
37,어라운드폴리캠프,"캠핑,야영장",제주 서귀포시 성산읍 서성일로 431,난산리 2682-2,0507-1433-7079,https://aroundfollie.com,미제공,,,4.56,89,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171127_258%2F1511768104516qp45O_JPEG%2F7dMVxyAKPgqtux59-FasMqJ3.JPG.jpg,33.4150760535005,126.835570270358
38,금능으뜸원해변캠핑장,"캠핑,야영장",없음,제주 제주시 한림읍 협재리 2689-1,미제공,미제공,미제공,,,0.0,18,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fmoment-phinf.pstatic.net%2FMjAyMjA4MTlfMjkx%2FMDAxNjYwOTEyNjEwNjk3.7WdSBEWHP_sHiaBdu6tIqpXZ98ZtqrxdB7OHiLWC1vgg.Z3bB1MJiHAjjVLxL4MG1nMmuREeFWYXNAKwPkd3Y1MMg.JPEG%2F6690E6CF-D182-4741-B8BE-05CA1EF6B334.jpg,33.3893102581714,126.235006737671
39,제주오션클라우드,호텔,제주 서귀포시 천제연로178번길 26,중문동 2330-9,미제공,http://www.oceancloud.co.kr/sub1.php,미제공,,,0.0,78,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181024_189%2F1540358867608WlDA0_PNG%2F--2pZz9Cp2aDjS356eUcKEyN.png,33.2495126932937,126.423252091258
40,노블레스호텔,모텔,제주 제주시 연동8길 31,연동 278-1,064-748-1500,http://27942.ministay.me/,미제공,,,4.3,28,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190802_261%2F1564676487867OSO9T_JPEG%2F6efb8b1d48e76dc4ae0c979340ccc99c.JPG,33.483028220335,126.490751114453
41,함덕캠핑스타카라반,"캠핑,야영장",없음,제주 제주시 조천읍 함덕리 산4,064-782-0053,https://jejucampingstar.modoo.at,미제공,,,3.61,38,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20191110_146%2F1573349477450561pa_JPEG%2Fimage.jpg,33.5436328728547,126.675875251184
42,키즈펜션설렘,펜션,제주 제주시 애월읍 광령남6길 13 1층,광령리 2949,0507-1352-6038,https://jujethrill.modoo.at,입실 16:00 퇴실 11:00,,,0.0,4,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230604_62%2F1685858063077JXcGk_JPEG%2FKakaoTalk_20210512_174339823.jpg,33.4474105989686,126.427774061088
43,시아하우스,펜션,제주 제주시 한림읍 협재로 210-97,협재리 813,0507-1328-4610,https://www.instagram.com/siahouse1004,입실 16:00 퇴실 11:00,,,0.0,8,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220620_138%2F1655713114745dkg2C_JPEG%2F20220315_140622.jpg,33.3731364837688,126.250633989796
44,다인리조트카라반,"캠핑,야영장",없음,제주 제주시 애월읍 고내리 79-27,미제공,http://www.dyneresort.co.kr/index.php,미제공,,,0.0,8,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MTFfNTIg%2FMDAxNjk0NDEyNjQyNjI5.Dniw3LQKhL-pQI7K6QSHv6ITsg0ykL30ZElOKv1ndOog.GqY62XtXpO3edJESl0U68weT0vXcZHG8TGw5W7QYeQIg.JPEG.lllllaaron%2FIMG_5793.jpg,33.4718844269646,126.351067440013
45,드르쿰다 in 성산 카라반,"캠핑,야영장",제주 서귀포시 성산읍 섭지코지로25번길 64,고성리 372-1,064-901-2197,https://delekoomdainsungsan.modoo.at/,미제공,,,4.38,103,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191007_202%2F1570414273761w6jHs_JPEG%2FF63O3jnHnHN9v5UtOERMgEwx.jpg,33.4599392749,126.417522692757
46,메이더카라반,"캠핑,야영장",제주 제주시 구좌읍 일주동로 1622,동복리 1651-1,064-783-2200,미제공,미제공,,,0.0,16,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MTVfMjMw%2FMDAxNjk0Nzg1Mjk2ODgy.rX3Vl39CYMNtXgbzZ3RdcjurgEacBB7zXf4QFjM1ud8g.1KFI4mbYorWnmMHEHZfFDq9GrpGIf-CIrRa-HOmHCxAg.JPEG.river0703%2F3.jpg,33.5524949881086,126.705963319012
47,비젠빌리지,펜션,제주 제주시 구좌읍 하도9길 72 비젠빌리지,하도리 907,010-8242-8222,https://youtube.com/@analogtownwiesenvillage763,입실 16:00 퇴실 11:00,,,4.76,611,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201214_96%2F1607911007822T8EV6_PNG%2F0Aa-jAq3d1TJckbOP8vNCx_n.png,33.51170899852,126.890659841346
48,블랑제이드,펜션,제주 서귀포시 안덕면 일주서로 2015-1 단독주택,사계리 1014-1,0507-1324-7147,https://site.onda.me/135408,입실 16:00 퇴실 11:00,,,0.0,24,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200630_289%2F1593483136688yg6kP_JPEG%2FweYqQq2Xj0Ia2xDtZ10dBL90.jpg,33.2502047287708,126.302398587287
49,중문카라반펜션,펜션,제주 서귀포시 이어도로 81,대포동 2530,064-739-8131,미제공,미제공,,,0.0,6,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA5MDhfMjY5%2FMDAxNjMxMTA2NDUyMDU2.kn-qdFAJp_os1GqlyprIDBRXZiY1Vepj5MMmBOkMSNMg.k_FHzggdZVRgTHCFp8ruQt9lb33-hcOukJzpwFwa5nIg.JPEG.15632a%2F1.JPG,33.2382988770557,126.431820517893
50,쇠소깍카라반,"캠핑,야영장",제주 서귀포시 칠십리로 638,하효동 1213-3,미제공,http://jejusoesoggak.com,미제공,,,0.0,1,숙소,30,,33.2495017803676,126.614475455481
51,파인비치카라반,펜션,없음,제주특별자치 서귀포시 남원읍 태흥리 610,미제공,미제공,입실 16:00 퇴실 11:00,,,0.0,2,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161222_181%2F1482390966303rYBmz_JPEG%2F__1.JPG,33.2874183816235,126.748585047807
52,삼춘민박,펜션,제주 제주시 애월읍 하귀8길 23-14,하귀1리 462-19,0507-1361-4775,미제공,미제공,,,0.0,203,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220503_187%2F1651576722037MOHJT_JPEG%2FP20220428_092349640_3188B2E7-6BDF-4541-B6C3-49FFD3D02705-2.jpg,33.4879708840814,126.410792519664
53,마레보리조트카라반,"캠핑,야영장",제주 제주시 애월읍 신엄안3길 135,고내리 45-1,미제공,미제공,미제공,,,0.0,5,숙소,30,,33.470873558297,126.354189997076
54,벤촌카라반,"캠핑,야영장",없음,제주 서귀포시 성산읍 온평리 847,미제공,미제공,미제공,,,0.0,0,숙소,30,,33.408174723723,126.90197703851
55,제주도 게스트하우스파티 스테이블,게스트하우스,"제주 서귀포시 안덕면 사계북로 109 1층, 2층, 3층",사계리 1586-1,0507-1414-7783,https://stable.modoo.at,입실 18:00 퇴실 12:00,,,0.0,2253,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230430_177%2F16828431942883ChFh_JPEG%2F%25C7%25C810.jpg,33.2369111316469,126.299397385206
56,제주도게스트하우스파티 사교장,게스트하우스,"제주 제주시 중앙로14길 28 2층, 3층",삼도이동 913-4,0507-1356-8608,https://www.instagram.com/sakyojang,입실 18:00 퇴실 11:00,,,0.0,792,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230127_146%2F1674809928692uvk5Y_JPEG%2FKakaoTalk_20230127_175733565.jpg,33.5111816152734,126.521451385636
57,미도호스텔,게스트하우스,제주 서귀포시 동문동로 13-1 미도호스텔 게스트하우스,서귀동 258-2,0507-1303-7627,https://blog.naver.com/midohostel,입실 16:00 퇴실 11:00,,,4.51,3823,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220822_70%2F1661150552324jbQQU_JPEG%2FKakaoTalk_20220822_154139534.jpg,33.2500621132955,126.566363473091
58,제주도게스트하우스 파티 간장남들,게스트하우스,제주 서귀포시 안덕면 사계북로41번길 30,사계리 2884,0507-1335-9219,https://www.instagram.com/soymans_jeju/,입실 18:00 퇴실 12:00,,,4.81,5367,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230621_108%2F1687335885319e2lb3_JPEG%2F1687279788102.jpg,33.2360113618492,126.295398400061
59,제주도게스트하우스파티애월 한담누리,게스트하우스,제주 제주시 애월읍 일주서로 6158,애월리 2443-2,0507-1448-4440,https://www.instagram.com/jeju_guesthouse,입실 17:00 퇴실 10:00,,,0.0,14057,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230702_283%2F1688279498273QmSO0_JPEG%2Fcu1687704067298.jpg,33.4593732244126,126.312449999591
60,제주도게스트하우스파티 끌림365,게스트하우스,제주 제주시 애월읍 고내로13길 83 A동,고내리 363-1,0507-1415-2017,https://www.instagram.com/cclim_jeju,입실 17:00 퇴실 11:00,,,0.0,2578,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230813_191%2F1691895167989JMnS2_JPEG%2F1.jpg,33.4709766189477,126.347666246759
61,제주도게스트하우스 점보네,게스트하우스,제주 제주시 용마서1길 36 3층,용담삼동 517-4,0507-1307-8240,http://www.instagram.com/jumbo_jeju,입실 17:00 퇴실 12:00,,,4.75,3341,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220520_42%2F1653050555378mvhMT_JPEG%2F%25C1%25A1%25BA%25B8%25B3%25D7%252B%25B0%25D4%25BD%25BA%25C6%25AE%25C7%25CF%25BF%25EC%25BD%25BA_%25C0%25CF%25B7%25AF%25BD%25BA%25C6%25AE.jpg,33.5162164951071,126.505914206875
